after-alice		chapter_title	第十七章
after-alice	after-alice:014	line_location	长椅边
after-alice	after-alice:014	line_speaker	A-017
after-alice	after-alice:014	line_text	如果再也没有人看见她们呢？
after-alice	after-alice:015	line_location	长椅边
after-alice	after-alice:015	line_speaker	Moel
after-alice	after-alice:015	line_text	那也不代表她们不在。
after-alice	after-alice:016	line_location	长椅边
after-alice	after-alice:016	line_speaker	Moel
after-alice	after-alice:016	line_text	旧系统一直以为，存在要先被记录、被判定、被观测，才算成立。
after-alice	after-alice:017	line_location	长椅边
after-alice	after-alice:017	line_speaker	Moel
after-alice	after-alice:017	line_text	可看见从来都只是相遇。
after-alice	after-alice:018	line_location	长椅边
after-alice	after-alice:018	line_speaker	Moel
after-alice	after-alice:018	line_text	不是许可。
after-alice	after-alice:019	line_location	喷泉边
after-alice	after-alice:019	line_speaker	旁白
after-alice	after-alice:019	line_text	后来，庭院里偶尔也会有与三姐妹重新相遇的时候。但那不是旧系统把她们叫回原位。Yume 不再负责记录。Alice 不再负责判定。Hana 也不再负责把谁送回原点。她们只是以另一种不必被稳定看见的方式，继续留在这里。
after-alice	after-alice:020	line_location	喷泉边
after-alice	after-alice:020	line_speaker	旁白
after-alice	after-alice:020	line_text	有时，A-017 会在喷泉边看见 Yume，空白册子摊在膝上。Moel 跳上石沿，看着那本再也写不出字的册子，低低说一句：你果然还是会留页。
after-alice	after-alice:021	line_location	长桌尽头
after-alice	after-alice:021	line_speaker	旁白
after-alice	after-alice:021	line_text	有时，长桌尽头会多出一道金色的影子。Alice 只把那本快被风翻乱的书轻轻按回该停的页上，或让一枚差点滑落桌沿的书签停在原处。Moel 蹲在桌边看一会儿，会懒懒吐出一句：都已经不用替谁下结论了，你还在管这个。
after-alice	after-alice:022	line_location	回廊深夜
after-alice	after-alice:022	line_speaker	旁白
after-alice	after-alice:022	line_text	而 Hana 最常出现在谁也无法确定自己是否真的看见了她的时候。花圃边，回廊口，或者某个人正要跌回旧痛里之前，肩头忽然先落下来的一点很轻的温度。Moel 有一次走到半截忽然停住，像有什么极轻地碰了碰她后背乱起来的衣角。
after-alice	after-alice:023	line_location	回廊深夜
after-alice	after-alice:023	line_speaker	Moel
after-alice	after-alice:023	line_text	从前的你们，只是梦。
after-alice	after-alice:024	line_location	回廊深夜
after-alice	after-alice:024	line_speaker	Moel
after-alice	after-alice:024	line_text	现在的你们，才是梦醒之后，也不会消失的存在。
after-alice	after-alice:025	line_location	回廊深夜
after-alice	after-alice:025	line_speaker	Moel
after-alice	after-alice:025	line_text	既然你们现在都这么闲、这么爱发呆，偶尔也陪我“出去”玩玩嘛。
after-alice	after-alice:026	line_location	回廊深夜
after-alice	after-alice:026	line_speaker	旁白
after-alice	after-alice:026	line_text	她说完，尾巴在夜风里轻轻一晃，眼角弯起来，露出一个很轻、却一看就让人想起爱丽丝猫的笑。
after-alice	after-alice:027	line_location	花圃边
after-alice	after-alice:027	line_speaker	旁白
after-alice	after-alice:027	line_text	黄昏时，Azalea、Meiling、Shella 和 Mizuki 一起走进花圃。她们把那些曾经维持自身存在方式的兔耳一对对埋进土里。那不是葬礼，更像把旧的依附方式轻轻放回地面，让留下来的身体第一次只凭自己继续存在。
after-alice	after-alice:028	line_location	花圃边
after-alice	after-alice:028	line_speaker	旁白
after-alice	after-alice:028	line_text	这一回，蹲下来把土覆回去的人不是 Hana，而是 A-017。她终于明白，有些结束不是响亮地碎掉，而是从此再也不会被谁亲手摆回原位。
after-alice	after-alice:029	line_location	花圃边
after-alice	after-alice:029	line_speaker	A-017
after-alice	after-alice:029	line_text	为什么你们还能留在这里？别的那些 Alice，最后不是都得离开吗？
after-alice	after-alice:030	line_location	花圃边
after-alice	after-alice:030	line_speaker	Azalea
after-alice	after-alice:030	line_text	因为我们从来就不是等着被送回去的人。
after-alice	after-alice:031	line_location	花圃边
after-alice	after-alice:031	line_speaker	Moel
after-alice	after-alice:031	line_text	普通的 A-line 是完整灵魂，会离开。她们不是。她们是被 Hana 安放进载体里的幸福碎片、未完成动作，还有关系残响。
after-alice	after-alice:032	line_location	花圃边
after-alice	after-alice:032	line_speaker	Moel
after-alice	after-alice:032	line_text	兔耳埋掉，结束的是旧关系。不是她们。
after-alice	after-alice:033	line_location	花圃边
after-alice	after-alice:033	line_speaker	旁白
after-alice	after-alice:033	line_text	A-017站在那片新覆好的土前，很久都没有说话。她这才第一次真正懂得，庭院不是所有亡者的收容所。它只留下那些已经不能被还原为原来那个人、却仍然真实存在的东西。
