god-kill		chapter_title	第十六章
god-kill	god-kill:038	line_text	花路一寸一寸断裂，又在断裂处生出原本不该存在的新岔口。长椅、空椅、门、楼梯、镜子、教室、病房、火场、名单、宣传页，全都在那一刻彼此重叠。不是世界在毁坏，而是世界终于不肯再被压成同一种样子。
god-kill	god-kill:039	line_location	庭院中央
god-kill	god-kill:039	line_speaker	旁白
god-kill	god-kill:039	line_text	Alice 在那一瞬间第一次真正露出近乎人类的惊惶。可她没有后退，只是下意识往 Hana 那边靠近了半步。Hana 立刻伸手，像那不是系统功能，而是她早就熟悉的一种本能。
god-kill	god-kill:040	line_location	庭院中央
god-kill	god-kill:040	line_speaker	Alice
god-kill	god-kill:040	line_text	……姐姐已经先走了。
god-kill	god-kill:041	line_location	庭院中央
god-kill	god-kill:041	line_speaker	旁白
god-kill	god-kill:041	line_text	Hana 没有回答。她只是把 Alice 抱进怀里。那一刻，Alice 身上的黑白之书一起失去重量，像两本终于不必再替谁下结论的书。金色的发尾在 Hana 臂弯里化成极细的白金色光点，一点一点散开。
god-kill	god-kill:042	line_location	庭院中央
god-kill	god-kill:042	line_speaker	Alice
god-kill	god-kill:042	line_text	已经不需要了。
god-kill	god-kill:043	line_location	庭院中央
god-kill	god-kill:043	line_speaker	Hana
god-kill	god-kill:043	line_text	什么？
god-kill	god-kill:044	line_location	庭院中央
god-kill	god-kill:044	line_speaker	Alice
god-kill	god-kill:044	line_text	结论。
god-kill	god-kill:045	line_location	庭院中央
god-kill	god-kill:045	line_speaker	旁白
god-kill	god-kill:045	line_text	下一秒，她便在 Hana 臂弯里化成极细的光。没有留下身体，只留下跌落在石地上的两本书。一本黑。一本白。
god-kill	god-kill:046	line_location	庭院中央
god-kill	god-kill:046	line_speaker	旁白
god-kill	god-kill:046	line_text	Hana 没有立刻起身。她低头看着空下去的怀抱，很久都没有动。那是 A-017 第一次看见她像这样静。不是温柔，也不是悲悯，而是一种终于被逼到尽头之后，连悲伤都显得极克制的沉默。
god-kill	god-kill:047	line_location	庭院中央
god-kill	god-kill:047	line_speaker	Hana
god-kill	god-kill:047	line_text	听好。
god-kill	god-kill:048	line_location	庭院中央
god-kill	god-kill:048	line_speaker	Hana
god-kill	god-kill:048	line_text	我从来不是来替谁原谅任何人的。
god-kill	god-kill:049	line_location	庭院中央
god-kill	god-kill:049	line_speaker	Hana
god-kill	god-kill:049	line_text	也不是来保证，所有人都能被救下来。
god-kill	god-kill:050	line_location	庭院中央
god-kill	god-kill:050	line_speaker	Hana
god-kill	god-kill:050	line_text	Azalea，你不必再替谁确认一切都准备好了。
god-kill	god-kill:051	line_location	庭院中央
god-kill	god-kill:051	line_speaker	Hana
god-kill	god-kill:051	line_text	Meiling，你不必再靠被谁看见，来证明自己还在。
god-kill	god-kill:052	line_location	庭院中央
god-kill	god-kill:052	line_speaker	Hana
god-kill	god-kill:052	line_text	Shella，你不必再替缺席的人留在那个位置上。
god-kill	god-kill:053	line_location	庭院中央
god-kill	god-kill:053	line_speaker	Hana
god-kill	god-kill:053	line_text	Mizuki，这一次，没有谁需要你再把自己钉在门前，去弥补已经发生过的失败。
god-kill	god-kill:054	line_location	庭院中央
god-kill	god-kill:054	line_speaker	Hana
god-kill	god-kill:054	line_text	如果你们还要留在这里，就只为了你们自己留下。
god-kill	god-kill:055	line_location	庭院中央
god-kill	god-kill:055	line_speaker	Hana
god-kill	god-kill:055	line_text	不是为了我。
god-kill	god-kill:056	line_location	庭院中央
god-kill	god-kill:056	line_speaker	旁白
god-kill	god-kill:056	line_text	然后，她才转向 A-017。少女站在满地碎光里，喉咙发紧，连一句话都说不出来。
god-kill	god-kill:057	line_location	庭院中央
god-kill	god-kill:057	line_speaker	Hana
god-kill	god-kill:057	line_text	A-017。
god-kill	god-kill:058	line_location	庭院中央
god-kill	god-kill:058	line_speaker	Hana
god-kill	god-kill:058	line_text	以后想去哪里，由你自己决定。
god-kill	god-kill:059	line_location	庭院中央
god-kill	god-kill:059	line_speaker	Hana
god-kill	god-kill:059	line_text	这一次，不必再由我接住你们了。
god-kill	god-kill:060	line_location	庭院中央
god-kill	god-kill:060	line_speaker	旁白
god-kill	god-kill:060	line_text	风从崩裂的回廊尽头穿过来。她银白色的长发被吹得微微扬起。下一秒，她整个人便像被那阵风轻轻碰碎了一样，散成了无数细小的光点。那些光没有立刻消失。它们在庭院里停留了一瞬，像谁终于松开手以后仍旧留下的一点体温，然后才一点一点落进草叶、碎石、长桌与花圃之间。
god-kill	god-kill:061	line_location	崩塌尽头
god-kill	god-kill:061	line_speaker	旁白
god-kill	god-kill:061	line_text	而 A-403 也在那片裂开的白光里失去了固定的轮廓。她没有像任何一个少女那样退场，反而更像终于把自己撑到不能再被叫作同一个人之后，才允许那些叠在一起的失败一起碎开。
god-kill	god-kill:062	line_location	崩塌尽头
god-kill	god-kill:062	line_speaker	旁白
god-kill	god-kill:062	line_text	A-017没有伸手去捞那些光。她只把手按在自己胸口，像要确认那里还剩下一颗会疼的核——不是编号，不是 Alice，也不是任何可以被一键归档的条目。疼还在，就证明“尚未写完”仍站在她这一边。
god-kill	god-kill:063	line_location	崩塌尽头
god-kill	god-kill:063	line_speaker	A-017
god-kill	god-kill:063	line_text	……Hana。你让我自己决定。可在那之前，至少让我用我自己的声音，把下一步说出来。
